replicate,graph_null_reciprocal_clique_count,label_swap_case_membership_share
137,0.0,0.5783132530120482
138,0.0,0.5421686746987951
139,5.0,0.5060240963855421
140,1.0,0.4939759036144578
141,0.0,0.40963855421686746
142,0.0,0.5662650602409639
143,1.0,0.6265060240963856
144,0.0,0.4457831325301205
145,0.0,0.42168674698795183
146,1.0,0.4939759036144578
147,0.0,0.5060240963855421
148,1.0,0.43373493975903615
149,0.0,0.5662650602409639
150,0.0,0.4578313253012048
151,0.0,0.5180722891566265
152,2.0,0.5542168674698795
153,1.0,0.5060240963855421
154,1.0,0.43373493975903615
155,2.0,0.4819277108433735
156,0.0,0.5180722891566265
157,2.0,0.5421686746987951
158,1.0,0.6626506024096386
159,1.0,0.40963855421686746
160,0.0,0.5180722891566265
161,1.0,0.6506024096385542
162,0.0,0.5301204819277109
163,0.0,0.5421686746987951
164,0.0,0.3614457831325301
165,0.0,0.4578313253012048
166,0.0,0.43373493975903615
167,3.0,0.46987951807228917
168,0.0,0.4578313253012048
169,1.0,0.6024096385542169
170,2.0,0.5301204819277109
171,1.0,0.4578313253012048
172,0.0,0.39759036144578314
173,0.0,0.5180722891566265
174,1.0,0.5421686746987951
175,2.0,0.3493975903614458
176,0.0,0.42168674698795183
177,1.0,0.4819277108433735
178,0.0,0.40963855421686746
179,0.0,0.5662650602409639
180,2.0,0.42168674698795183
181,0.0,0.6024096385542169
182,0.0,0.6144578313253012
183,2.0,0.46987951807228917
184,1.0,0.4578313253012048
185,1.0,0.43373493975903615
186,0.0,0.5301204819277109
187,0.0,0.5180722891566265
188,1.0,0.4939759036144578
189,0.0,0.3855421686746988
190,0.0,0.39759036144578314
191,1.0,0.40963855421686746
192,0.0,0.5180722891566265
193,1.0,0.46987951807228917
194,1.0,0.4578313253012048
195,1.0,0.39759036144578314
196,0.0,0.4819277108433735
197,1.0,0.4939759036144578
198,0.0,0.5542168674698795
199,0.0,0.5662650602409639
200,1.0,0.4457831325301205
201,0.0,0.43373493975903615
202,1.0,0.4578313253012048
203,0.0,0.5060240963855421
204,3.0,0.5060240963855421
205,0.0,0.46987951807228917
206,0.0,0.4578313253012048
207,1.0,0.4819277108433735
208,0.0,0.5301204819277109
209,1.0,0.42168674698795183
210,0.0,0.46987951807228917
211,1.0,0.4819277108433735
212,0.0,0.5421686746987951
213,2.0,0.5542168674698795
214,1.0,0.6626506024096386
215,4.0,0.4578313253012048
216,0.0,0.5060240963855421
217,2.0,0.4819277108433735
218,0.0,0.6265060240963856
219,0.0,0.5542168674698795
220,0.0,0.39759036144578314
221,1.0,0.3253012048192771
222,1.0,0.39759036144578314
223,0.0,0.4939759036144578
224,0.0,0.6506024096385542
225,0.0,0.5542168674698795
226,0.0,0.40963855421686746
227,0.0,0.5903614457831325
228,0.0,0.4819277108433735
229,0.0,0.4939759036144578
230,0.0,0.4819277108433735
231,1.0,0.5421686746987951
232,2.0,0.37349397590361444
233,0.0,0.6265060240963856
234,0.0,0.46987951807228917
235,1.0,0.6024096385542169
236,0.0,0.5060240963855421
237,2.0,0.5180722891566265
238,0.0,0.3373493975903614
239,1.0,0.5662650602409639
240,1.0,0.5421686746987951
241,1.0,0.5180722891566265
242,0.0,0.40963855421686746
243,0.0,0.4939759036144578
244,1.0,0.6746987951807228
245,0.0,0.5421686746987951
246,0.0,0.4819277108433735
247,1.0,0.43373493975903615
248,0.0,0.5542168674698795
249,0.0,0.6024096385542169
250,4.0,0.5301204819277109
251,1.0,0.4457831325301205
